Age,Ht,TailLn,HairLn,BangLn,Reach,EarLobes,ClassName,ClassID
47.9,156.8,5.6,8.1,7.1,162.4,1,Bhuttan,+1
44.9,145.1,11.5,5.7,4.4,150.4,0,Assam,-1
38.2,149.8,10.1,12.7,8.0,155.1,1,Bhuttan,+1
47.6,145.0,11.8,8.5,4.4,149.6,1,Assam,-1
54.9,146.0,12.7,8.4,4.9,150.7,1,Assam,-1
51.7,142.5,4.8,13.0,7.3,147.7,0,Bhuttan,+1
31.4,155.8,8.1,9.9,7.6,161.2,1,Bhuttan,+1
32.6,132.1,9.9,8.9,5.8,137.3,1,Bhuttan,+1
43.5,137.8,8.4,7.3,5.4,142.8,1,Bhuttan,+1
37.4,160.8,12.1,7.0,5.5,165.4,0,Assam,-1
55.0,144.1,14.9,10.1,3.8,149.5,0,Assam,-1
41.0,142.9,18.5,9.7,4.7,147.5,1,Assam,-1
41.7,147.4,8.7,9.6,8.2,153.4,0,Bhuttan,+1
36.4,141.3,16.1,12.7,6.7,146.6,1,Bhuttan,+1
69.2,159.0,8.6,6.6,5.2,164.1,0,Assam,-1
39.1,152.7,18.8,9.5,5.2,157.9,1,Assam,-1
67.0,148.0,20.1,7.1,5.9,152.8,1,Assam,-1
50.5,151.2,7.3,9.2,7.2,156.3,0,Bhuttan,+1
38.7,136.4,10.8,7.9,6.0,141.8,0,Assam,-1
33.6,154.0,7.7,8.6,7.2,160.0,1,Bhuttan,+1
50.8,159.5,9.4,11.3,6.1,164.6,1,Assam,-1
40.6,131.4,6.6,11.3,6.1,137.3,1,Assam,-1
36.3,138.7,4.0,9.5,4.9,143.4,1,Assam,-1
57.5,131.4,13.5,14.6,7.3,136.6,1,Bhuttan,+1
33.2,120.5,13.7,9.7,5.1,125.3,1,Assam,-1
34.7,140.9,5.9,8.1,6.1,146.4,0,Bhuttan,+1
74.2,131.7,10.7,6.3,5.3,137.0,1,Assam,-1
53.5,133.3,7.1,9.0,7.8,139.3,1,Bhuttan,+1
59.7,130.6,10.8,8.5,4.7,135.3,0,Assam,-1
45.8,153.4,16.2,5.6,3.4,158.3,1,Assam,-1
51.1,130.7,11.8,8.1,6.1,136.1,1,Bhuttan,+1
30.2,149.1,5.6,12.2,8.5,154.6,1,Bhuttan,+1
64.3,152.2,14.0,7.4,5.7,156.8,0,Assam,-1
36.7,154.3,4.9,11.5,6.9,160.2,1,Bhuttan,+1
47.0,141.1,7.5,11.0,7.8,146.7,1,Bhuttan,+1
53.9,136.1,15.8,7.4,5.7,141.4,0,Assam,-1
52.1,156.9,12.6,9.3,5.1,162.3,0,Assam,-1
54.9,170.2,12.7,8.5,4.4,175.0,1,Assam,-1
51.0,119.0,8.9,7.8,7.9,123.5,0,Assam,-1
